,name,url_key,title,brand,description,model,product_category,thumb_url,small_image_url,highest_bid_amount,highest_bid_updated_at,lowest_ask_amount,lowest_ask_updated_at,express_expedited_count,express_standard_count,express_standard_lowest_amount,annual_avg_price,annual_volatility,annual_sales_count,annual_price_premium,last72h_sales_count,last_sale_amount,release_date
200,Black White (2024),nike-air-dt-max-96-black-white-2024,Nike Air DT Max '96 Black White (2024),Nike,"The Nike Air DT Max '96 Black White (2024) is a shoe designed as a revival of the original design from the 1990s. 
<br>
<br>
This iteration of the Nike Air DT Max ‘96 is constructed with a white leather base for the upper. The upper is covered with a black leather overlay that looks like it’s dripping from the top in streaks down the white midsole and into the outsole. Black also forms the toe cap, and on the lateral side, the black streaks have perforations that reveal a Varsity Maize yellow color underneath. Small yellow Nike swooshes also appear on each side of the ankle, and a black strap over the laces contains a white Nike swoosh. The heel contains a yellow Swoosh and the word ""AIR,"" while the tongue also features branding elements. The white wavy outsole contains a visible Air DT Max unit in the heel.
<br>
<br>
What we like most about this particular sneaker is the way the black overlays look like they’re dripping down the shoe’s upper. The Nike Air DT Max '96 Black White (2024) was released on June 14, 2024, for $170.",Nike Air DT Max '96,sneakers,https://images.stockx.com/images/Nike-Air-DT-Max-96-Black-White-2024-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,https://images.stockx.com/images/Nike-Air-DT-Max-96-Black-White-2024-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,272.0,2025-02-20T22:43:22Z,218.0,2025-02-24T21:03:26Z,0,34,236.0,195,0.247911,5771,0.024,9,167,2024-06-14
201,Photon Dust Pink Foam (Women's),nike-zoom-vomero-5-photon-dust-pink-foam-womens,Nike Zoom Vomero 5 Photon Dust Pink Foam (Women's),Nike,"The Nike Zoom Vomero 5 Photon Dust Pink Foam (Women's) adds metallic-silver accents to the upper and splashes of Pink Foam across the sole unit.
<br>
<br>
The layered sneaker, Photon Dust Pink Foam (Women's) Nike Zoom Vomero 5, finds inspiration in running shoes from the early 2000s, which can be seen in the synthetic leather overlays and the plastic caging on the side panels. The synthetic leather allows the metallic silver to shine, while reflective accents provide visibility in low lighting. The combination of loose weave mesh in Pure Platinum and ventilation ports on the heel allows the foot to breathe and stay cool. In terms of technology, snappy Zoom Air cushioning adds a responsive feel, and the rubber outsole grips the ground.
<br>
<br>
Our experts at StockX like the straightforward logo tag, which displays ""NIKE VOMERO 5"" lettering and matches the black accents across the shoe. The Nike Zoom Vomero 5 Photon Dust Pink Foam (Women's) was originally released on August 1, 2024, and sold for $160.",Nike Zoom Vomero 5,sneakers,https://images.stockx.com/images/Nike-Zoom-Vomero-5-Photon-Dust-Pink-Foam-Womens-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,https://images.stockx.com/images/Nike-Zoom-Vomero-5-Photon-Dust-Pink-Foam-Womens-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,229.0,2025-02-25T13:58:17Z,166.0,2025-02-24T15:27:57Z,33,52,168.0,159,0.17481,5744,0.469,28,225,2024-08-01
202,White (Women's),nike-air-force-1-low-white-2018-w,Nike Air Force 1 Low '07 White (Women's),Nike,"The women's Nike Air Force 1 Low White silhouette (W) continues the tradition of the 1982 Air Force 1. The sneaker features an all-white leather upper with a perforated toe box and Swoosh overlays. A Nike heel embroidery and white sole completes the design.

The women's Nike Air Force 1 Low White 2018 (W) released in January 2018 and retailed for $90. The retail price was increased to $115 in 2023. ",Nike Air Force 1 Low '07,sneakers,https://images.stockx.com/images/Nike-Air-Force-1-Low-White-2018-W-Product1.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1670328424,https://images.stockx.com/images/Nike-Air-Force-1-Low-White-2018-W-Product1.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1670328424,67.0,2025-02-25T06:19:32Z,68.0,2025-02-25T11:28:48Z,0,62,92.0,76,0.131442,5743,-0.335,36,73,2021-01-16
203,Give Her Flowers (Women's),nike-dunk-low-give-her-flowers-womens,Nike Dunk Low Give Her Flowers (Women's),Nike,"The Nike Dunk Low Give Her Flowers (Women's) paints the Nike Dunk Low in an off-white Sail with flower details.
<br>
<br>
This off-white sneaker was first announced as one of Nike’s Valentine’s Day 2024 products and features romantic elements. For example, ‘you deserve flowers’ is printed across the Medium Soft Pink insole in delicate cursive lettering. A gold pin with a red rose and green leaves can be found on the heel panels. The leather upper comes in Sail, while the textile overlays feature a floral pattern in the same color. Like other Dunk Low models, the signature leather Swoosh streaks across the side panels and wraps around the heel. The sneaker sits on a rubber cupsole that comes in complementary Sail.
<br>
<br>
Our StockX experts like the University Red ‘Nike’ lettering on the tongue’s logo tag. It adds a pop of color that matches the rose pin. The women’s size Nike Dunk Low Give Her Flowers (Women's) was released on March 8th, 2024, and retailed at $115.",Nike Dunk Low,sneakers,https://images.stockx.com/images/Nike-Dunk-Low-Give-Her-Flowers-Womens-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,https://images.stockx.com/images/Nike-Dunk-Low-Give-Her-Flowers-Womens-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,215.0,2025-02-11T20:32:56Z,111.0,2025-02-06T15:44:34Z,0,21,222.0,121,0.134325,5709,0.565,6,172,2024-03-08
204,Sail All-Star,nike-kobe-6-protro-sail,Nike Kobe 6 Protro Sail All-Star,Nike,"The Nike Kobe 6 Protro Sail All-Star brings a fresh twist to an iconic silhouette. This edition stands out with its sail-dominated upper, offset by a striking black Swoosh and subtle platinum violet accents. Unlike previous versions of the Kobe 6, this release introduces a bold new starry pattern on the upper, replacing the signature snakeskin texture on the medial sides of the upper. This design choice not only elevates the shoe’s visual appeal but also nods to Kobe Bryant’s star power and celebrates the 2025 NBA all star weekend, making it a must-have for collectors and hoopers alike.<br><br>Further refining its look, the sneaker features light bone tones across the midsole and heel, creating a balanced contrast with the white outsole. The platinum violet lining adds a unique pop of color without overpowering the shoe’s clean aesthetic. Performance-wise, the Kobe 6 Protro maintains its low-cut profile and responsive cushioning, ensuring optimal comfort on and off the court. Whether styled casually or laced up for a game, this pair seamlessly merges function with fashion.<br><br>Released on February 13, 2025, the Nike Kobe 6 Protro Sail All-Star hit shelves at a retail price of $190, quickly becoming a sought-after addition to the Kobe lineup. Its refined blend of sail, black, light bone, white, and platinum violet gives it a timeless appeal, while the innovative design elements make it a standout among past iterations.",Nike Kobe 6 Protro,sneakers,https://images.stockx.com/images/Nike-Kobe-6-Protro-Sail-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1739302365,https://images.stockx.com/images/Nike-Kobe-6-Protro-Sail-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1739302365,303.0,2025-02-25T07:59:34Z,275.0,2025-02-25T08:58:02Z,10,55,303.0,298,0.112206,5702,0.526,525,277,2025-02-13
205,Silver Off White,onitsuka-tiger-mexico-66-silver-off-white,Onitsuka Tiger Mexico 66 Silver Off White,ASICS,"The Onitsuka Tiger Mexico 66 drops in a striking Silver/Off White palette, seamlessly merging vintage vibes with contemporary fashion.<br>
<br>
At the forefront of the sneaker game, this classic silhouette has reinvented itself once again. Featuring leather craftsmanship, the shimmering silver upper is complemented beautifully by muted off-white highlights, and an off white midsole making it an instant head-turner. But it isn't just about aesthetics; the Mexico 66 is a statement piece with a history. When you lace up, you're not only joining the fashion-forward crowd but also honoring the iconic legacy of Onitsuka Tiger.<br>
<br>
This trendsetting blends classic old-school charm with modern flair. The Onitsuka Tiger Mexico 66 in Silver/Off White was available at an initial retail price of $120.",Onitsuka Tiger Mexico 66,sneakers,https://images.stockx.com/images/Onitsuka-Tiger-Mexico-66-Silver-Off-White-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,https://images.stockx.com/images/Onitsuka-Tiger-Mexico-66-Silver-Off-White-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,120.0,2025-02-11T06:28:15Z,131.0,2025-02-25T08:04:44Z,1,6,194.0,131,0.138611,5698,-0.108,35,103,2022-01-24
206,Pine Green,air-jordan-4-retro-sb-pine-green,Jordan 4 Retro SB Pine Green,Jordan,"Nike SB’s collaboration with Jordan helps create the ultimate sneaker for the skatepark to the basketball court, with the release of the Jordan 4 Retro SB Pine Green. 
<br>
<br>
The Jordan 4 Retro SB Pine Green used a white leather upper with a Neutral Grey suede mudguard. The limited edition sneakers sit on top of a white and Pine Green midsole which is highlighted by a red air unit. Nike used a gum outsole to help with increased grip while skateboarding. 
<br>
<br>
The Air Jordan 4 Retro SB Pine Green released March 20, 2023, with a retail price of $225.",Jordan 4 Retro SB,sneakers,https://images.stockx.com/images/Air-Jordan-4-Retro-SB-Pine-Green-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,https://images.stockx.com/images/Air-Jordan-4-Retro-SB-Pine-Green-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,499.0,2025-02-24T01:25:11Z,317.0,2025-02-25T06:29:43Z,30,86,331.0,420,0.151527,5698,0.756,33,378,2023-03-21
207,Dark Green Cloud White,adidas-campus-00s-dark-green-cloud-white,adidas Campus 00s Dark Green Cloud White,adidas,"The adidas Campus 00s Dark Green Cloud White comes in a dark green, cloud white, and off-white color scheme.
<br>
<br>
The Dark Green Cloud White adidas Campus 00s has an upper that is constructed from dark green suede. The shoe's padded collar offers support and comfort. The sneaker's rubber outsole is durable and provides traction and stability. The perforated ventilation holes on the sides of the upper of the shoe provide breathability. In addition, the shoe has an EVA midsole for padding and support. The shoe features the signature 3-Stripes logo on the lateral sides, ""CAMPUS"" text on one side, and Trefoil branding on the tongue and heel.
<br>
<br>
The adidas Campus 00s Dark Green Cloud White was released on March 15, 2023, and sold for a retail price of $110.",adidas Campus 00s,sneakers,https://images.stockx.com/images/adidas-Campus-00s-Dark-Green-Cloud-White-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,https://images.stockx.com/images/adidas-Campus-00s-Dark-Green-Cloud-White-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,97.0,2025-02-14T02:57:48Z,43.0,2025-02-25T06:31:45Z,59,97,43.0,85,0.208032,5686,-0.282,7,76,2023-03-15
208,Galaxy (2025),nike-air-foamposite-one-galaxy-2025,Nike Air Foamposite One Galaxy (2025),Nike,"The Nike Air Foamposite One Galaxy (2025) revives one of the most legendary sneaker releases of all time. Originally launching in 2012 as part of Nike Basketball’s All-Star ""Galaxy Pack,"" the Foamposite quickly became a cultural icon, sparking massive hype and even chaotic release-day stories. More than just a sneaker, the ""Galaxy"" Foamposite represented the intensity of sneaker culture, and now, in 2025, it's making its highly anticipated return. The futuristic obsidian and black Foamposite shell serves as a base, allowing the cosmic theme to take center stage, while anthracite accents complete the sleek aesthetic.<br><br>Just like its predecessor, the 2025 edition retains the signature glow-in-the-dark outsole, adding to its out-of-this-world appeal. Details like the ""Remove Before Flight"" pull tabs and Penny Hardaway’s 1 Cent logo remain intact, staying true to the original design that captivated sneakerheads over a decade ago. This drop isn’t just another rerelease—it’s a revival of one of the most sought-after sneakers in history.<br><br>Landing on February 21, 2025, the Nike Air Foamposite One Galaxy (2025) retailed at $230, bringing back the magic of the original with a fresh perspective. Dressed in obsidian, black, and anthracite, this pair is a must-have for collectors and those looking to own a piece of sneaker history.",Nike Air Foamposite One,sneakers,https://images.stockx.com/images/Nike-Air-Foamposite-One-Galaxy-2025-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1739302050,https://images.stockx.com/images/Nike-Air-Foamposite-One-Galaxy-2025-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1739302050,383.0,2025-02-25T08:07:19Z,257.0,2025-02-25T08:06:40Z,53,54,323.0,393,0.10647,5610,0.848,1125,406,2025-02-21
209,Cool Grey (2021),air-jordan-11-retro-cool-grey-2021,Jordan 11 Retro Cool Grey (2021),Jordan,"Since its debut in 2001, the Air Jordan 11 Cool Grey has become one of the most celebrated colorways in the Jordan 11 catalog.
<br>
<br>
The Air Jordan 11 Cool Grey (2021) features a Cool Grey Durabuck upper with patent leather overlays and a signature Jumpman embroidery on the collar. From there, a white midsole and an icy blue translucent outsole complete the design.
<br>
<br>
The Air Jordan 11 Cool Grey (2021) released in December of 2021 and retails for $225.",Jordan 11 Retro,sneakers,https://images.stockx.com/images/Air-Jordan-11-Retro-Cool-Grey-2021-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,https://images.stockx.com/images/Air-Jordan-11-Retro-Cool-Grey-2021-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,297.0,2025-01-25T17:23:29Z,197.0,2025-02-25T06:59:30Z,0,32,426.0,292,0.087518,5581,0.156,30,249,2021-12-11
210,Grey Gum (Kids),adidas-campus-00s-grey-gum-gs,adidas Campus 00s Grey Gum (Kids),adidas,"The adidas Campus 00s Grey Gum (GS) was designed particularly for grade schoolers and comes in a Grey Three and Cloud White colorway.<br><br> 
The upper of the Campus 00s Grey Gum is made of a premium suede material that is durable and provides comfort. The shoe has a low-top silhouette with the collar below the ankle, making it more lightweight and flexible. This design makes it easier for the wearer to move quickly and perform activities that require agility, such as playing basketball or running. The 3-Stripes branding is prominently displayed on the side, while the adidas logo is on the heel. The shoe's interior has a textile lining that adds comfort and breathability.<br><br>
Our experts say that one of the standout features of the adidas Campus 00s Grey Gum (GS) is the gum rubber outsole, which adds contrast and provides grip. The outsole also has a herringbone traction pattern, which ensures stability and traction on any surface. The shoe was released on February 18th, 2023 at a retail price of $80.<br><br>",adidas Campus 00s,sneakers,https://images.stockx.com/images/adidas-Campus-00s-Grey-Gum-GS-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,https://images.stockx.com/images/adidas-Campus-00s-Grey-Gum-GS-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,25.0,2025-02-17T17:49:27Z,42.0,2025-02-25T06:05:13Z,67,70,43.0,84,0.146048,5569,0.073,2,82,2023-02-18
211,White Metallic Gold,new-balance-1906r-white-gold,New Balance 1906R White Metallic Gold,New Balance,"The New Balance 1906R White Metallic Gold comes in a metallic silver and metallic gold color scheme.
<br>
<br>
The New Balance 1906R White Metallic Gold adopts a classic silhouette with white leather and gold embellishments. The upper is breathable and lightweight, with a cushioned collar and tongue for comfort. The midsole is constructed from lightweight EVA foam for cushioning and support. Durable rubber is used to construct the outsole, which provides grip and steadiness. The shoe also features ""N"" branding in a contrasting gold and black colorway on both lateral sides.
<br>
<br>
The New Balance 1906R White Metallic Gold was made available on August 12th, 2022, for a retail price of $155.",New Balance 1906R,sneakers,https://images.stockx.com/images/New-Balance-1906R-White-Gold-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,https://images.stockx.com/images/New-Balance-1906R-White-Gold-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,179.0,2025-02-25T08:11:48Z,109.0,2025-02-25T09:14:26Z,9,167,113.0,120,0.069114,5543,-0.31,53,103,2022-08-12
212,Bred (2025),air-jordan-1-retro-high-85-bred,Jordan 1 Retro High '85 OG Bred (2025),Jordan,"The Air Jordan 1 Retro High '85 OG Bred (2025) brings back one of the most iconic colorways in sneaker history. Originally launched in 1985 and famously ""banned"" by the NBA, this black and varsity red design has come to symbolize rebellion and style. For its 40th anniversary, Jordan Brand delivers a meticulously designed updated edition that is a return to the styling of the original with premium leather construction and its unmistakable color blocking.<br><br>With a slightly taller build and a larger, sleeker swoosh compared to more recent retros, this pair is as close to the 1985 version as it gets. The black leather base is accented with varsity red overlays and a clean white midsole, while additional features include a rubber outsole for durability, extra laces, and a nostalgic hangtag. Each pair is packaged in its original-style box, completing the retro experience for collectors and fans alike.<br><br>Released on February 14, 2025, during the NBA All-Star Weekend, the Jordan 1 Retro High '85 OG Bred retailed for $250. Dressed in black, varsity red, and white, this drop was said to be limited to just 10,000 pairs worldwide, making it one of the rarest Jordan 1 releases in years.",Jordan 1 Retro High '85 OG,sneakers,https://images.stockx.com/images/Air-Jordan-1-Retro-High-85-Bred-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738825889,https://images.stockx.com/images/Air-Jordan-1-Retro-High-85-Bred-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738825889,554.0,2025-02-25T11:30:26Z,278.0,2025-02-25T12:15:21Z,30,46,344.0,463,0.207035,5520,0.82,328,435,2025-02-14
213,Ascent,adidas-ae-1-charcoal,adidas AE 1 Ascent,adidas,"The adidas AE 1 Ascent adds a sleek colorway of Charcoal and Core Black to NBA player Anthony Edward’s first signature sneaker with adidas.
<br>
<br>
The mid-top Ascent adidas AE 1 sits on a lightweight, TPU-encased Jet Boost and LightStrike midsole, which finds support in a full-length torsional plate. While the upper is crafted from tightly woven mesh, TPU side panels with a honeycomb-like construction bolster the shoe and allow the foot to breathe. The TPU side panels also feature a marbled pattern in Charcoal that makes the ""Ascent"" stand out from other adidas AE 1 models. Although the sneaker boasts minimal branding details, a rubberized 3-Stripes logo graces the molded back heel.
<br>
<br>
Our experts at StockX like the oversized herringbone traction pattern on the rubber outsole because it provides grip while complementing the honeycomb pattern on the side panels. The adidas AE 1 Ascent was released on July 20, 2024, and retailed at $120.",adidas AE 1,sneakers,https://images.stockx.com/images/adidas-AE-1-Charcoal-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,https://images.stockx.com/images/adidas-AE-1-Charcoal-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,87.0,2025-01-25T17:23:29Z,115.0,2025-02-25T03:44:00Z,14,79,115.0,122,0.264766,5501,-0.208,21,91,2024-07-20
214,Nina Chanel Abney Bicoastal (Women's),air-jordan-3-retro-sp-nina-chanel-abney-bicoastal-womens,Jordan 3 Retro SP Nina Chanel Abney Bicoastal (Women's),Jordan,"The Jordan Air Jordan 3 Retro SP Nina Chanel Abney Bicoastal (Women's) is a stunning collaboration that merges fine art with sneaker culture. Featuring a unique colorway of bicoastal green, black, malachite, and fossil, this sneaker stands out with its striking design elements. The green canvas and suede upper, combined with rope laces, offers a fresh and stylish look. The modified Jumpman logo on the tongue, a first for a Jordan retro collaboration, adds a distinctive touch that highlights the innovative approach taken in this design. <br><br>This sneaker celebrates the artistic brilliance of Nina Chanel Abney, a fine artist known for her bold and vibrant works. The Jordan 3, first introduced in 1988, is reinterpreted through Abney's creative lens, resulting in a sneaker that is both a piece of art and a fashion statement. The leather heel tab with a chenille Nike Air logo adds to the unique aesthetic, making this model a must-have for collectors. <br><br>Released on June 20, 2024, and retailing at $225, the Jordan Air Jordan 3 Retro SP Nina Chanel Abney Bicoastal (Women's) is a standout piece in any collection. This sneaker seamlessly blends the heritage of the Jordan brand with contemporary artistic expression, offering a stylish and culturally significant addition to your wardrobe. Don’t miss out on this exceptional model that embodies the spirit of innovation and creativity.",Jordan 3 Retro SP,sneakers,https://images.stockx.com/images/Air-Jordan-3-Retro-SP-Nina-Chanel-Abney-Bicoastal-Womens-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,https://images.stockx.com/images/Air-Jordan-3-Retro-SP-Nina-Chanel-Abney-Bicoastal-Womens-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,218.0,2025-02-25T13:29:00Z,143.0,2025-02-25T14:44:43Z,5,34,206.0,273,0.168492,5493,0.222,20,263,2024-06-20
215,Earth Strata Gum (Women's),adidas-samba-og-earth-strata-gum-womens,adidas Samba OG Earth Strata Gum (Women's),adidas,"The adidas Samba OG Earth Strata Gum (Women's) dresses the Samba OG silhouette in a rich Earth Strata hue, with accents in Footwear White and Gold Metallic.
<br>
<br>
Sourcing design inspiration from indoor soccer shoes, the Earth Strata Gum (Women's) adidas Samba OG iteration features a smooth calf leather construction. The thin overlay across the toebox and the eyelets are crafted from calf suede and come in Earth Strata. Additional Earth Strata accents are located on the thin laces, the leather tongue, the collar, and the insole. However, the leather heel mustache and serrated 3-stripes logo feature clean Footwear White. Contributing a heritage detail, the gum rubber outsole provides grippy traction underfoot.
<br>
<br>
Our experts at StockX appreciate the leather insole and collar, which increase the sneaker’s premium appeal and pay tribute to the OG models. The women’s size adidas Samba OG Earth Strata Gum (Women's) was originally released on August 1, 2024, and was priced at $100.",adidas Samba OG,sneakers,https://images.stockx.com/images/adidas-Samba-OG-Earth-Strata-Gum-Womens-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,https://images.stockx.com/images/adidas-Samba-OG-Earth-Strata-Gum-Womens-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,147.0,2025-02-25T07:01:26Z,108.0,2025-02-25T14:48:56Z,0,12,157.0,114,0.093066,5492,0.34,17,128,2024-08-01
216,Collegiate Green (Women's),adidas-samba-og-collegiate-green-womens,adidas Samba OG Collegiate Green (Women's),adidas,"The adidas Samba can be traced all the way back to the 1950s, but adidas continues to come up with ways to makes its iconic silhouette look modern in the present day. The adidas Samba OG Collegiate Green (Women's), which is a women's-exclusive shoe, accomplishes this goal by covering the Samba with a set of new colors.
<br>
<br>
This version of the adidas Samba features a soft full-grain leather upper done up in Collegiate Green with matching suede overlays. It also includes Cream White accents found on the tongue, Three Stripes logos, and heel. There is a gum rubber midsole and a gum rubber cupsole as well that finish off the sneaker's look.
<br>
<br>
What our sneaker experts like best about this Samba, though, are the gold foil details sprinkled throughout the shoe. They help tie its appearance together and give it the more modern appearance adidas was going for. The adidas Samba OG Collegiate Green (Women's) was released on January 22, 2024, when it retailed for $100.",adidas Samba OG,sneakers,https://images.stockx.com/images/adidas-Samba-OG-Collegiate-Green-Womens-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,https://images.stockx.com/images/adidas-Samba-OG-Collegiate-Green-Womens-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,118.0,2025-02-25T09:10:13Z,82.0,2025-02-25T12:58:27Z,1,30,116.0,105,0.276743,5482,-0.03,9,93,2024-01-22
217,Maroon Preloved Brown (Women's),adidas-sl-72-og-maroon-preloved-brown-womens,adidas SL 72 OG Maroon Preloved Brown (Women's),adidas,"The adidas SL 72 OG Maroon Preloved Brown (Women’s) is a slim sneaker whose design has become a classic since the release of the first version in 1972.
<br>
<br>
This iteration of the adidas SL 72 OG comes with a suede and textile upper. The base is a dark brown shade with lighter brown suede overlays rounding out the toebox, coming up from the toe under the laces, under the midsole, and around the heel. The three stripes logo appears on the midsoles in a beige color. There is a gold adidas logo stamped onto the brown heel collar, while the tongue also bears a logo patch. The slim rubber outsole also has the adidas logo embossed onto it.
<br>
<br>
Our favorite feature of this shoe is the slim build. This gives the shoe a retro and classic look. The adidas SL 72 OG Maroon Preloved Brown (Women’s) was first released on March 28, 2024, for a retail price of $100.",adidas SL 72 OG,sneakers,https://images.stockx.com/images/adidas-SL-72-OG-Maroon-Preloved-Brown-Womens-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,https://images.stockx.com/images/adidas-SL-72-OG-Maroon-Preloved-Brown-Womens-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,59.0,2025-02-24T21:04:11Z,62.0,2025-02-25T13:02:55Z,32,222,62.0,105,0.204905,5475,-0.21,15,76,2024-03-28
218,Black,yeezy-pod-black,YZY Pods Black,Yeezy,"DISCLAIMER: The YZY Pods Black comes in three sizes 1, 2 & 3. The sizes listed use updated US and EU conversions directly from the manufacturer. Please note that the Yeezy Pod Black runs slightly big, so if you are between sizes, it is best to size down. ",YZY Pods,sneakers,https://images.stockx.com/images/Yeezy-Pod-Black-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,https://images.stockx.com/images/Yeezy-Pod-Black-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,17.0,2025-01-26T22:04:09Z,25.0,2025-02-25T08:03:07Z,22,195,25.0,33,0.351989,5468,-0.1,45,18,2023-12-15
219,Miami Dolphins,nike-dunk-low-miami-dolphins,Nike Dunk Low Miami Dolphins,Nike,"The Nike Dunk Low Miami Dolphins takes a classic sports shoe silhouette and dresses it in the iconic colors of the legendary NFL franchise.
<br>
<br>
The Miami Dolphins colorway of the Nike Dunk Low-Top sports a base of white leather with the signature perforations in the toe box for breathability. Overlays adorn the upper in iconic Miami Dolphin turquoise that matches the sock liner that's padded at the collar. The orange leather Nike swoosh matches the orange heel tab with white Nike branding. White Nike branding appears on the turquoise insole, while turquoise Nike branding adorns the white tongue tag.
<br>
<br>
What we enjoy most about this sneaker is the way the sole unit locks in the Miami Dolphins colors as well as the Nike Dunk dependability. A white foam midsole and turquoise rubber outsole provide impact absorption and traction for sports or everyday wear. The Nike Dunk Low Miami Dolphins was released on January 17, 2024, for a retail price of $115.",Nike Dunk Low,sneakers,https://images.stockx.com/images/Nike-Dunk-Low-Miami-Dolphins-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,https://images.stockx.com/images/Nike-Dunk-Low-Miami-Dolphins-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1738193358,69.0,2025-02-25T07:48:14Z,82.0,2025-02-25T08:01:27Z,13,54,96.0,88,0.119628,5443,0.122,8,124,2024-01-17
