retail_price,release_month,release_quarter,log_retail_price,has_collaboration,collab_count,collab_tier,brand_retail_mean,brand_retail_std,brand_retail_median,brand_resell_mean,brand_resell_std,brand_resell_median,model_retail_mean,model_retail_std,model_retail_median,model_resell_mean,model_resell_std,model_resell_median,model_count,retail_to_brand_mean,model_resell_mean_to_brand_mean,retail_to_model_mean,brand,model_processed,collab_brands,size_category,resell_price
70.0,3.0,1.0,4.2626798770413155,1,1,3,153.56112469437653,76.19400802526293,130.0,160.0647921760391,108.69672792210746,126.0,68.5,60.21432807997153,52.5,97.24,44.949204891834995,85.0,50.0,0.455844538383766,0.6075039905906074,1.0218978102189782,adidas,slide,yeezy,Men,94.0
160.0,8.0,3.0,5.081404364984463,0,0,0,143.80548141086751,46.44936103166427,140.0,155.84842707340323,169.4874933458879,115.0,151.58227848101265,53.46664610786821,160.0,223.9240506329114,184.5190402343971,180.0,79.0,1.1126140563645348,1.4368066129242687,1.0555323590814196,Jordan,4 retro,none,Men,242.0
230.0,12.0,4.0,5.442417710521793,0,0,0,143.80548141086751,46.44936103166427,140.0,155.84842707340323,169.4874933458879,115.0,167.03125,59.240616175380126,185.0,181.09375,75.20396325134519,180.5,32.0,1.5993827060240187,1.161986382542741,1.3769878391019645,Jordan,11 retro,none,Men,187.0
215.0,5.0,2.0,5.375278407684165,1,1,3,143.80548141086751,46.44936103166427,140.0,155.84842707340323,169.4874933458879,115.0,151.58227848101265,53.46664610786821,160.0,223.9240506329114,184.5190402343971,180.0,79.0,1.4950751382398435,1.4368066129242687,1.4183716075156576,Jordan,4 retro,off-white,Men,202.0
60.0,3.0,1.0,4.110873864173311,1,1,3,153.56112469437653,76.19400802526293,130.0,160.0647921760391,108.69672792210746,126.0,68.5,60.21432807997153,52.5,97.24,44.949204891834995,85.0,50.0,0.390723890043228,0.6075039905906074,0.8759124087591241,adidas,slide,yeezy,Men,117.0
80.0,3.0,1.0,4.394449154672439,1,1,3,153.56112469437653,76.19400802526293,130.0,160.0647921760391,108.69672792210746,126.0,81.6470588235294,36.94411518846843,80.0,95.82352941176471,23.598822253763128,89.0,17.0,0.520965186724304,0.5986546329712413,0.9798270893371759,adidas,foam rnr,yeezy,Men,88.0
70.0,8.0,3.0,4.2626798770413155,1,1,3,153.56112469437653,76.19400802526293,130.0,160.0647921760391,108.69672792210746,126.0,68.5,60.21432807997153,52.5,97.24,44.949204891834995,85.0,50.0,0.455844538383766,0.6075039905906074,1.0218978102189782,adidas,slide,yeezy,Men,85.0
70.0,3.0,1.0,4.2626798770413155,1,1,3,153.56112469437653,76.19400802526293,130.0,160.0647921760391,108.69672792210746,126.0,68.5,60.21432807997153,52.5,97.24,44.949204891834995,85.0,50.0,0.455844538383766,0.6075039905906074,1.0218978102189782,adidas,slide,yeezy,Men,104.0
225.0,7.0,3.0,5.420534999272286,1,1,2,143.80548141086751,46.44936103166427,140.0,155.84842707340323,169.4874933458879,115.0,168.88888888888889,50.54563394706916,170.0,163.11111111111111,80.51776891538358,162.0,9.0,1.564613516762627,1.04660094538065,1.3322368421052633,Jordan,4 retro se,kaws,Men,227.0
100.0,3.0,1.0,4.61512051684126,0,0,0,146.79653401797177,54.39738473919055,140.0,175.26444159178433,358.7797390098799,118.0,104.44444444444444,16.775287073855292,110.0,84.85185185185185,22.19789266454,84.0,27.0,0.6812149937256513,0.4841361492451721,0.9574468085106383,Nike,dunk low retro,none,Men,69.0
